fc_id,url,claim_short,claim_source,verdict_img,claim,date,categories
a-rise-in-the-number-of-covid-19-cases-and-deaths-starting-in-september-2020-contradicts-the-claim-b.html,https://healthfeedback.org/claimreview/a-rise-in-the-number-of-covid-19-cases-and-deaths-starting-in-september-2020-contradicts-the-claim-by-michael-yeadon-that-the-pandemic-is-fundamentally-over-in-the-u-k/,the pandemic is fundamentally over in the U.K.; We now know that loads of people had prior immunity [...] I believe we are now firmly at community immunity.; Viruses don’t do waves.,https://archive.vn/BPjdm,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"When you've got a very low prevalence of the disease, as we had in July and August, and then you're going to see far more false positives; the pandemic is fundamentally over in the U.K.; These are deaths with [COVID-19], not of [COVID-19]. So you can be in hospital, for a whole variety of other reasons, you could have heart disease, you could have cancer, if you test positive for [COVID-19], you still end up on these statistics, don't you?; We now know that loads of people had prior immunity [...] I believe we are now firmly at community immunity.; Viruses don’t do waves.; Immunity to viruses is mostly conferred by what's called T memory cells. Antibodies are probably not very important.",5 Nov. 2020,"[""Inaccurate"", ""Unsupported""]"
a-safe-and-effective-covid-19-vaccine-for-children-would-protect-children-and-at-risk-people-by-redu.html,https://healthfeedback.org/claimreview/a-safe-and-effective-covid-19-vaccine-for-children-would-protect-children-and-at-risk-people-by-reducing-the-virus-spread/,Survival is over 99.9% so 'why are they insisting that children get this experimental treatment?'; 'mRNA vaccines are not vaccines but an mRNA treatment',https://archive.ph/vBDTf,https://healthfeedback.org/wp-content/uploads/tags/HTag_Lacks_Context.png,"""If you’re between the ages of 11 and 13[…] your chances of survival are 99.988%. If you’re older in the next group, 14 to 17, your chance of survival is 99.98%%. […] Why are they insisting that children get this experimental treatment?""; ""mRNA vaccines are not vaccines but an mRNA treatment""",4 May 2021,"[""Lacks context"", ""Factually inaccurate""]"
a-trypsin-based-oral-spray-reportedly-deactivates-sars-cov-2-in-a-liquid-suspension-but-has-not-yet-.html,https://healthfeedback.org/claimreview/a-trypsin-based-oral-spray-reportedly-deactivates-sars-cov-2-in-a-liquid-suspension-but-has-not-yet-been-tested-in-the-mouth/,New oral spray deactivates 98% of the coronavirus in the mouth,https://www.facebook.com/ScienceNaturePage/videos/vb.693504594115135/748994332516289/?type=2&theater,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,New oral spray ‘deactivates 98% of the coronavirus’ in the mouth. Previous studies have shown that the mouth spray’s effect is believed to be partly due to the ability of trypsin to sever proteins on the surface of the virus.,20 Jul. 2020,"[""Overstates the scientific impact of a finding""]"
a-u-s-food-and-drug-administration-panel-validated-modernas-covid-19-vaccine-its-authorization-for-e.html,https://healthfeedback.org/claimreview/a-u-s-food-and-drug-administration-panel-validated-modernas-covid-19-vaccine-its-authorization-for-emergency-use-should-ensue/,'FDA panel backs Moderna’s COVID-19 vaccine',https://archive.is/fO17k,https://healthfeedback.org/wp-content/uploads/tags/HTag_Mostly_Accurate.png,'FDA panel backs Moderna’s COVID-19 vaccine',17 Dec. 2020,"[""Accurate"", ""Lack of context""]"
a-vaccine-against-sars-cov-2-would-be-useful-even-if-the-survival-rate-from-covid-19-is-high__.html,https://healthfeedback.org/claimreview/a-vaccine-against-sars-cov-2-would-be-useful-even-if-the-survival-rate-from-covid-19-is-high/,"With the survival rate of COVID-19 close to 100% without a vaccine, what exactly will the purpose of the new vaccine be?",https://archive.is/YIdA2,https://healthfeedback.org/wp-content/uploads/tags/HTag_Lacks_Context.png,"With the survival rate of COVID-19 close to 100% without a vaccine, what exactly will the purpose of the new vaccine be?",21 Aug. 2020,"[""Misleading"", ""Lack of context""]"
abortifacient-plants-dangerous-and-ineffective-as-abortion-method__.html,https://healthfeedback.org/claimreview/abortifacient-plants-dangerous-and-ineffective-as-abortion-method/,"Plants such as pennyroyal, blue and black cohosh or mugwort are an effective alternative abortion method",https://perma.cc/3X2G-9JQX?view-mode=server-side&type=image,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,"Plants such as pennyroyal, blue and black cohosh or mugwort are an alternative method for abortion",24 Jun. 2022,"[""Inadequate support""]"
abortion-can-be-medically-necessary-to-save-the-life-of-a-pregnant-woman__.html,https://healthfeedback.org/claimreview/abortion-can-be-medically-necessary-to-save-the-life-of-a-pregnant-woman/,Abortion is never medically necessary,https://perma.cc/A82R-7MVP,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,Abortion is never medically necessary,27 Jun. 2022,"[""Factually inaccurate"", ""Cherry-picking""]"
acidity-in-drinking-water-not-a-cause-for-health-concern-contrary-to-popular-facebook-video__.html,https://healthfeedback.org/claimreview/acidity-in-drinking-water-not-a-cause-for-health-concern-contrary-to-popular-facebook-video/,Drinking bottled water with an acidic pH is bad for your health,https://archive.fo/LTRZX,https://healthfeedback.org/wp-content/uploads/tags/HTag_Incorrect.png,Drinking bottled water with an acidic pH is bad for your health,19 Apr. 2017,"[""Incorrect"", ""Imprecise""]"
activated-charcoal-tablets-are-unlikely-to-be-effective-in-counteracting-date-rape-drugs-individuals.html,https://healthfeedback.org/claimreview/activated-charcoal-tablets-are-unlikely-to-be-effective-in-counteracting-date-rape-drugs-individuals-who-have-been-given-date-rape-drugs-should-seek-medical-attention/,Buy yourselves charcoal activated tablets […] it will counteract most date rape drugs,https://archive.ph/2021.06.29-133534/https://www.facebook.com/plugins/post.php?href=https://www.facebook.com/nokulunganzondo/posts/10156504935817963&show_text=true&width=500,https://healthfeedback.org/wp-content/uploads/tags/HTag_Incorrect.png,"Guys please buy yourselves Charcoal activated tablets & carry them with you to any gathering or night club. Should you feel like you aren’t yourself or out of place, drink one tablet & it will counteract most date rape drugs.",4 Sep. 2019,"[""Unsupported"", ""Potentially harmful""]"
adequate-immunization-and-improved-sanitation-together-protect-against-infection-from-both-wild-and-.html,https://healthfeedback.org/claimreview/adequate-immunization-and-improved-sanitation-together-protect-against-infection-from-both-wild-and-vaccine-derived-poliovirus/,UN Forced to Admit Gates-funded Vaccine is Causing Polio Outbreak in Africa,https://archive.is/jrahL,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,UN Forced to Admit Gates-funded Vaccine is Causing Polio Outbreak in Africa; The United Nations has been forced to admit that a major international vaccine initiative is actually causing a deadly outbreak of the very disease it was supposed to wipe-out.,4 Sep. 2020,"[""Inaccurate"", ""Lacks context""]"
adhd-prevalence-in-france-is-similar-to-that-of-other-developed-countries-like-the-us-cultural-diffe.html,https://healthfeedback.org/claimreview/adhd-prevalence-in-france-is-similar-to-that-of-other-developed-countries-like-the-us-cultural-differences-notwithstanding/,"These two very different cultures have different ADHD levels in children, in America the rate is 19 percent, and in France, it’s .5% – a half of a percent",https://archive.fo/Or9TO,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"These two very different cultures have different ADHD levels in children, in America the rate is 19 percent, and in France, it’s .5% – a half of a percent",14 Oct. 2019,"[""Inaccurate"", ""Lacks context""]"
alleged-spikes-in-medical-conditions-military-after-covid-19-vaccine-based-on-faulty-data-thomas-ren.html,https://healthfeedback.org/claimreview/alleged-spikes-in-medical-conditions-military-after-covid-19-vaccine-based-on-faulty-data-thomas-renz/,"In 2021, cases of pregnancy and fertility issues, cancer, neurological issues, and heart disease spiked after COVID-19 vaccination",https://archive.is/FIkjY,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,"In 2021, cases of pregnancy and fertility issues, cancer, neurological issues, and heart disease spiked after COVID-19 vaccination",24 Jan. 2022,"[""Inaccurate"", ""Unsupported""]"
altered-image-falsely-suggests-that-restaurant-staff-in-maine-are-required-to-wear-dog-cone-style-fa.html,https://healthfeedback.org/claimreview/altered-image-falsely-suggests-that-restaurant-staff-in-maine-are-required-to-wear-dog-cone-style-face-visors-to-protect-against-covid-19/,Governor of Maine orders restaurant staff to wear COVID visors like dog cones,https://archive.fo/B7dSL,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,Governor of Maine orders restaurant staff to wear COVID visors like dog cones,18 Aug. 2020,"[""Inaccurate""]"
although-fetal-cell-lines-are-used-to-grow-viruses-for-some-covid-19-vaccines-the-cells-are-not-part.html,https://healthfeedback.org/claimreview/although-fetal-cell-lines-are-used-to-grow-viruses-for-some-covid-19-vaccines-the-cells-are-not-part-of-the-vaccines/,CONFIRMED - aborted male fetus in [COVID-19] vaccine,https://archive.md/4Awtd,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,CONFIRMED - aborted male fetus in [COVID-19] vaccine; the vaccine contains aborted fetal tissue and can change your DNA,15 Nov. 2020,"[""Inaccurate""]"
analysis-florida-department-health-surgeon-general-joseph-ladopo-contains-multiple-methodological-pr.html,https://healthfeedback.org/claimreview/analysis-florida-department-health-surgeon-general-joseph-ladopo-contains-multiple-methodological-problems-covid-19-mrna-vaccines/,"Florida study found that COVID-19 mRNA vaccines increase the risk of cardiac-related death, especially in men",https://web.archive.org/web/20221010134252/https://twitter.com/FLSurgeonGen/status/1578515633159180289,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,Florida Department of Health analysis found an increased risk of cardiac-related death among men 18-39 who received COVID mRNA vaccines; the benefit of vaccination is likely outweighed by this abnormally high risk of cardiac- related death among men in this age group; Covid mRNA vaccine found to cause 84% increase in DEATH for men ages 18-39,7 Oct. 2022,"[""Inadequate support"", ""Misleading""]"
article-by-cardiologist-aseem-malhotra-made-unsupported-claims-about-benefits-risks-covid-19-vaccina.html,https://healthfeedback.org/claimreview/article-by-cardiologist-aseem-malhotra-made-unsupported-claims-about-benefits-risks-covid-19-vaccination/,mRNA COVID-19 vaccines might do more harm than good,https://web.archive.org/web/20221004092940/https://www.theepochtimes.com/doctor-who-promoted-covid-shots-on-tv-calls-for-global-stop-to-covid-19-vaccines-study_4762728.html,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,"Non-elderly population have a greater risk of serious adverse events from the vaccines than being hospitalised from COVID-19; safety data are deeply concerning, especially in relation to cardiovascular safety",26 Sep. 2022,"[""Inadequate support"", ""Cherry-picking""]"
article-by-offguardian-zerohedge-claiming-to-list-30-facts-about-covid-19-contains-multiple-inaccura.html,https://healthfeedback.org/claimreview/article-by-offguardian-zerohedge-claiming-to-list-30-facts-about-covid-19-contains-multiple-inaccurate-and-misleading-statements/,There has been NO unusual excess mortality related to COVID; Lockdowns do not prevent the spread of disease; Masks don’t work; PCR tests were not designed to diagnose illness,https://web.archive.org/web/20210924152003/https:/off-guardian.org/2021/09/22/30-facts-you-need-to-know-your-covid-cribsheet/,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"The survival rate of ‘Covid’ is over 99%; There has been NO unusual excess mortality; ‘Covid death’ counts are artificially inflated; Lockdowns do not prevent the spread of disease; Lockdowns kill people; Hospitals were never unusually over-burdened; PCR tests were not designed to diagnose illness; The CT values of the PCR tests are too high, Masks don’t work; Masks are bad for your health; Vaccines do not confer immunity or prevent transmission; The vaccines were rushed and have unknown [long-term] effects",22 Sep. 2021,"[""Inaccurate"", ""Incorrect"", ""Misleading""]"
article-by-the-expose-failed-to-account-for-caveats-listed-in-u-k-vaccine-surveillance-reports-false.html,https://healthfeedback.org/claimreview/article-by-the-expose-failed-to-account-for-caveats-listed-in-u-k-vaccine-surveillance-reports-falsely-claims-fully-vaccinated-people-have-weakened-immunity/,The Vaccine Surveillance Reports published by the U.K. government suggest that fully vaccinated people are developing AIDS,https://archive.ph/43DW6,https://healthfeedback.org/wp-content/uploads/tags/HTag_Incorrect.png,"UK Government reports suggest the Fully Vaccinated are rapidly developing Acquired Immunodeficiency Syndrome, and the Immune System decline has now begun in Children",30 Oct. 2021,"[""Incorrect"", ""Misrepresents source""]"
article-claiming-flu-vaccine-causes-serious-illness-and-death-is-misleading-and-inaccurate__.html,https://healthfeedback.org/claimreview/article-claiming-flu-vaccine-causes-serious-illness-and-death-is-misleading-and-inaccurate/,Formerly healthy people are suffering serious harm or even dying from taking the flu shot,https://archive.fo/ucUSd,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,Formerly healthy people are suffering serious harm or even dying from taking the flu shot,7 Dec. 2018,"[""Misleading"", ""Unsupported:"", ""Inaccurate""]"
article-claiming-that-masks-contribute-to-cancer-development-misrepresents-a-study-about-lung-cancer.html,https://healthfeedback.org/claimreview/article-claiming-that-masks-contribute-to-cancer-development-misrepresents-a-study-about-lung-cancer-which-didnt-involve-masks-at-all/,"Long-term Mask Use May Contribute to Advanced Stage Lung Cancer, Study Finds",https://archive.md/wkifv,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"Long-term Mask Use May Contribute to Advanced Stage Lung Cancer, Study Finds; Microbiologists agree that frequent mask wearing creates a moist environment in which microbes are allowed to grow and proliferate before entering the lungs.",29 Jan. 2021,"[""Inaccurate"", ""Unsupported""]"
article-claiming-that-the-national-cancer-institute-admits-marijuana-kills-cancer-is-inaccurate-and-.html,https://healthfeedback.org/claimreview/article-claiming-that-the-national-cancer-institute-admits-marijuana-kills-cancer-is-inaccurate-and-unsupported-usa-health-times/,Cancer Institute Finally Admits Marijuana Kills Cancer,https://archive.fo/hilzp,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,Cancer Institute Finally Admits Marijuana Kills Cancer,21 Apr. 2018,"[""Unsupported"", ""Inaccurate""]"
article-inaccurately-claims-that-coronavirus-vaccine-by-oxford-researchers-caused-animal-test-subjec.html,https://healthfeedback.org/claimreview/article-inaccurately-claims-that-coronavirus-vaccine-by-oxford-researchers-caused-animal-test-subjects-to-develop-covid-19/,Bill Gates’ shoddily-hastened vaccine has been determined to make all animal test subjects get COVID-19 when exposed to the virus,http://archive.vn/HFNI2#,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,Bill Gates’ shoddily-hastened vaccine has been determined to make all animal test subjects get COVID-19 when exposed to the virus,27 May 2020,"[""Cherry-picking"", ""Misleading""]"
article-misrepresents-who-guidance-regarding-vaccination-at-schools-who-recommends-parents-be-inform.html,https://healthfeedback.org/claimreview/article-misrepresents-who-guidance-regarding-vaccination-at-schools-who-recommends-parents-be-informed-about-vaccination/,The WHO considers a child's presence at school alone to be sufficient as informed consent for vaccination,https://archive.md/OD7kv,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"The World Health Organization, which is the medical epicenter of the depopulation lobby, now considers your child's presence in school informed consent to vaccinate that child.; Depopulation by vaccination [is] now fully outside the law and will sterilize, sicken and dumb down every child on earth but the children of the depop lobby members who don't vaccinate their children.",23 Nov. 2019,"[""Inaccurate"", ""Misleading""]"
article-wrongly-claims-that-measles-vaccine-claims-more-lives-than-measles-infection-misinterprets-e.html,https://healthfeedback.org/claimreview/article-wrongly-claims-that-measles-vaccine-claims-more-lives-than-measles-infection-misinterprets-epidemiological-data/,"Measles Vaccines Kill More People than Measles, CDC Data Proves",https://archive.fo/r49ci,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"Measles Vaccines Kill More People than Measles, CDC Data Proves",5 Feb. 2015,"[""Fails to grasp significance of observation"", ""Misleading""]"
assessment-of-the-evolution-of-the-number-of-covid-19-cases-is-based-on-sars-cov-2-specific-test-no-.html,https://healthfeedback.org/claimreview/assessment-of-the-evolution-of-the-number-of-covid-19-cases-is-based-on-sars-cov-2-specific-test-no-confusion-with-flu-or-common-cold-is-possible/,It's NOT a SECOND WAVE of COVID-19 coming soon. It's the NORMAL COLD / FLU SEASON,https://archive.is/2BEzB,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,It's NOT a SECOND WAVE of COVID-19 coming soon. It's the NORMAL COLD / FLU SEASON. Same as last year.,1 Sep. 2020,"[""Inadequate support"", ""Misleading""]"
asymptomatic-and-presymptomatic-people-can-spread-covid-19-jeffrey-a-tucker-aier__.html,https://healthfeedback.org/claimreview/asymptomatic-and-presymptomatic-people-can-spread-covid-19-jeffrey-a-tucker-aier/,asymptomatic spread of COVID-19 never occurs,https://archive.is/o7DIu,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,AIER: asymptomatic spread of COVID-19 never occurs;  The Last Refuge: asymptomatic spread just doesn’t happen; when a person is infected with the virus they are only infecting others when they have symptoms; We could take comfort in our normal intuition that healthy people can get out and about with no risk to others. We could take off our masks.,20 Dec. 2020,"[""Factually inaccurate"", ""Cherry-picking"", ""Fails to grasp significance of observation""]"
bakersfield-physicians-underestimate-covid-19-mortality-using-flawed-statistics-wrongly-claim-shelte.html,https://healthfeedback.org/claimreview/bakersfield-physicians-underestimate-covid-19-mortality-using-flawed-statistics-wrongly-claim-sheltering-in-place-causes-weak-immune-system/,You have a 0.03[%] chance of dying from [COVID-19] in the state of California. [...] it’s similar to the flu.,https://archive.fo/Al99f,https://healthfeedback.org/wp-content/uploads/tags/HTag_Inaccurate.png,"You have a 0.03[%] chance of dying from [COVID-19] in the state of California. [...] it’s similar to the flu. [...] Sheltering in place decreases your immune system. And then as we all come out of shelter in place with a lower immune system and start trading viruses, bacteria—what do you think is going to happen? Disease is going to spike.",22 Apr. 2020,"[""Misleading"", ""Inaccurate""]"
bananas-may-be-healthy-but-consuming-them-wont-treat-gastrointestinal-diseases-nor-limit-the-replica.html,https://healthfeedback.org/claimreview/bananas-may-be-healthy-but-consuming-them-wont-treat-gastrointestinal-diseases-nor-limit-the-replication-of-hiv/,Bananas are a powerful antiviral food—so powerful that they have the capacity to repel growth of the retrovirus HIV,https://archive.is/kUahR,https://healthfeedback.org/wp-content/uploads/tags/HTag_Incorrect.png,"Bananas are a powerful antiviral food—so powerful that they have the capacity to repel growth of the retrovirus HIV […] When it comes to digestive aids, nothing beats bananas. They are truly an anti-spasmodic for hyperactive colons and small intestinal tracts. Bananas can alleviate gastric cramps and stress-related gastrointestinal disorders; they are a secret weapon in reversing colitis, IBS, and Crohn’s disease.",21 Feb. 2021,"[""Incorrect""]"
baseless-speculations-underpin-a-retracted-editorial-claiming-spontaneous-generation-of-sars-cov-2-i.html,https://healthfeedback.org/claimreview/baseless-speculations-underpin-a-retracted-editorial-claiming-spontaneous-generation-of-sars-cov-2-in-skin-cells-exposed-to-5g-waves/,5G generates coronavirus in human skin cells,https://archive.fo/lwrOz,https://healthfeedback.org/wp-content/uploads/tags/HTag_Incorrect.png,5G generates coronavirus in human skin cells,16 Jul. 2020,"[""Inadequate support"", ""Flawed reasoning""]"
benefits-covid-19-vaccines-preventing-severe-disease-outweigh-risk-myocarditis-higher-after-covid-19.html,https://healthfeedback.org/claimreview/benefits-covid-19-vaccines-preventing-severe-disease-outweigh-risk-myocarditis-higher-after-covid-19/,they were not able to find a single healthy child in america that died from COVID-19 […] but one in every 2700 people are getting myocarditis; athletes are collapsing on playing fields as for myocarditis and it's from the vaccines; Moderna patent filed in 2019 is linked to the pandemic,https://web.archive.org/web/20220511103809/https:/www.facebook.com/theo.von/videos/vb.237955720149/5422992364401227/?type=2&theater=,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,"they were not able to find a single healthy child in america that died from COVID-19 […] but one in every 2700 people are getting myocarditis; athletes are collapsing on playing fields as for myocarditis and it's from the vaccines; Stéphane Bancel applied to the U.S. patent office for his mRNA vaccine in March 2019, five months before the escape",9 Dec. 2021,"[""Flawed reasoning"", ""Inadequate support""]"
benefits-of-mrna-covid-19-vaccines-for-children-outweigh-the-risks-unlike-robert-malone-claim__.html,https://healthfeedback.org/claimreview/benefits-of-mrna-covid-19-vaccines-for-children-outweigh-the-risks-unlike-robert-malone-claim/,mRNA vaccines force your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs; there is no benefit for your children or your family to be vaccinating your children,https://archive.ph/pLoUl,https://healthfeedback.org/wp-content/uploads/tags/HTag_Incorrect.png,"mRNA vaccines force your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs; there is no benefit for your children or your family to be vaccinating your children against the small risks of the virus, given the known health risks of the vaccine that as a parent, you and your children may have to live with for the rest of their lives.",12 Dec. 2021,"[""Incorrect"", ""Unsupported""]"
bidens-2021-remarks-on-covid-19-vaccines-hurricane-preparedness-misrepresented__.html,https://healthfeedback.org/claimreview/bidens-2021-remarks-on-covid-19-vaccines-hurricane-preparedness-misrepresented/,President Joe Biden told people to get vaccinated to protect themselves from hurricanes,https://perma.cc/TWT3-ZRHW?type=image,https://healthfeedback.org/wp-content/uploads/tags/HTag_Misleading.png,President Joe Biden told people to get vaccinated to protect themselves from hurricanes,27 Sep. 2022,"[""Misrepresents source""]"
bill-and-melinda-gates-daughter-phoebe-gates-fully-vaccinated-including-against-covid-19-despite-onl.html,https://healthfeedback.org/claimreview/bill-and-melinda-gates-daughter-phoebe-gates-fully-vaccinated-including-against-covid-19-despite-online-claims/,"Phoebe Adele Gates is unvaccinated, not even [for] childhood vaccines.",https://web.archive.org/web/20221110163543/https://www.instagram.com/p/Cknou2ZO_tk/embed/captioned/,https://healthfeedback.org/wp-content/uploads/tags/HTag_Unsupported.png,"Phoebe Adele Gates is unvaccinated, not even [for] childhood vaccines.",5 Nov. 2022,"[""Inadequate support""]"
